City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
327,Veinticinco De Mayo,AR,78.06,clear sky,-35.4323,-60.1727,Estancia La Rosada
331,Pacific Grove,US,84.61,clear sky,36.6177,-121.9166,Lovers Point Inn
333,Luba,GQ,81.3,overcast clouds,3.4568,8.5547,
336,Beruwala,LK,74.82,overcast clouds,6.4788,79.9828,The Palms Hotel
339,Sinnamary,GF,77.76,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
340,Belmonte,BR,82.4,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
341,Kongolo,CD,70.16,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
344,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
345,Ca Mau,VN,77.13,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
348,Camana,PE,74.77,few clouds,-16.6228,-72.7111,Hostal Morales
352,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
356,Jurado,CO,81.77,light rain,7.1053,-77.7641,
357,Itarema,BR,80.26,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
358,Wattegama,LK,70.65,overcast clouds,6.7989,81.4808,
362,Koumac,NC,79.9,overcast clouds,-20.5667,164.2833,Le Monitel
364,Dicabisagan,PH,75.24,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
365,Carutapera,BR,77.54,overcast clouds,-1.195,-46.02,Lidera
366,Tchibanga,GA,72.12,light rain,-2.85,11.0333,
367,Qandala,SO,74.14,scattered clouds,11.472,49.8728,
369,Ancud,CL,80.22,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
370,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
373,Los Llanos De Aridane,ES,61.12,few clouds,28.6585,-17.9182,Valle Aridane
376,Majene,ID,75.63,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
378,Caravelas,BR,77.74,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
379,Samarai,PG,80.71,scattered clouds,-10.6167,150.6667,Nuli Sapi
383,Atar,MR,70.38,overcast clouds,20.5169,-13.0499,Oumou Elghoura
385,Sur,OM,72.0,clear sky,22.5667,59.5289,Sur Plaza Hotel
386,Ahuimanu,US,77.77,few clouds,21.4447,-157.8378,Paradise Bay Resort
388,San Borja,BO,79.14,overcast clouds,-14.8167,-66.85,
390,Leeton,AU,69.71,scattered clouds,-34.5667,146.4,Historic Hydro Motor Inn
392,Kaohsiung,TW,64.35,broken clouds,22.6163,120.3133,御宿商旅-中山館
399,Esmeraldas,BR,80.71,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
405,Asosa,ET,70.32,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
406,Sao Jose Da Coroa Grande,BR,81.23,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
415,Sarangani,PH,81.21,overcast clouds,5.4033,125.4636,Ballistic Islet
416,Tonj,SS,82.65,scattered clouds,7.2737,28.6822,Lakan Hotel
418,Nueva Loja,EC,87.28,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
420,Witu,KE,78.96,scattered clouds,-2.3889,40.4382,
422,Camalu,MX,76.93,clear sky,30.85,-116.0667,La Cueva del Pirata
423,Dubbo,AU,62.73,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
429,Xucheng,CN,61.5,overcast clouds,20.35,110.1288,Haixing Hotel
431,Chapada Dos Guimaraes,BR,67.66,heavy intensity rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
434,Nioro,GM,81.75,scattered clouds,13.35,-15.75,
436,Pandan,PH,75.78,scattered clouds,14.0453,124.1694,Bonifacio Lodge
437,Clearwater,US,73.36,clear sky,27.9659,-82.8001,Shephard's Beach Resort
439,Pangkalanbuun,ID,74.53,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
441,Mogadishu,SO,77.16,overcast clouds,2.0371,45.3438,Hotel Juba
442,Wanning,CN,68.88,overcast clouds,18.8003,110.3967,Paradise Hotel
443,Byron Bay,AU,72.05,broken clouds,-28.65,153.6167,Backpackers Inn
445,Yilan,TW,60.82,light rain,24.757,121.753,Dar Chen Hotel
448,Constitucion,CL,66.94,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
450,Blackwater,AU,70.38,clear sky,-23.5833,148.8833,Blackwater Motor Inn
451,Camocim,BR,81.01,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
452,Phibun Mangsahan,TH,75.18,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
453,Hervey Bay,AU,70.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
455,Hobyo,SO,77.14,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
456,Monrovia,LR,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
457,Stephenville,US,64.92,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
459,Labuhan,ID,75.7,overcast clouds,-6.8844,112.2051,DoubleFAG
461,Japura,ID,73.11,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
464,Zuenoula,CI,78.93,broken clouds,7.4292,-6.0431,Hotel Prestige Zla
468,Tadine,NC,81.1,overcast clouds,-21.55,167.8833,
469,Salinopolis,BR,78.62,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
470,Kudahuvadhoo,MV,81.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
471,Sadiqabad,PK,61.14,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
473,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
474,Coihaique,CL,81.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
476,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
477,Kabanjahe,ID,61.41,moderate rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
478,Olavarria,AR,79.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
480,Latung,PH,81.72,overcast clouds,5.5,120.8833,
483,Kiunga,PG,72.99,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
484,Akyab,MM,63.64,broken clouds,20.15,92.9,Hotel Memory
485,Pemba,MZ,77.7,thunderstorm,-12.974,40.5178,Guesthouse Samotina
487,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
490,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
492,Vao,NC,79.7,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
494,Ratnagiri,IN,72.28,clear sky,16.9833,73.3,Hotel Landmark
495,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
496,Benguela,AO,76.73,broken clouds,-12.5763,13.4055,Hotel Praia Morena
497,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
499,Port Lincoln,AU,66.34,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
504,Madimba,TZ,78.06,broken clouds,-10.4,40.3333,
507,Paramonga,PE,75.15,clear sky,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
508,Cozumel,MX,80.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
515,San Juan,AR,86.67,clear sky,-31.5375,-68.5364,Hotel Provincial
518,Sambava,MG,76.33,moderate rain,-14.2667,50.1667,Melrose
519,Marrakesh,MA,60.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
520,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
521,Adrar,MR,64.99,broken clouds,20.5022,-10.0711,
522,Rameswaram,IN,79.48,broken clouds,9.2833,79.3,Daiwik Hotels Rameswaram
523,Kedougou,SN,80.46,clear sky,12.5579,-12.1743,Relais de Kédougou
524,Arlit,NE,71.22,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
525,Kutum,SD,63.43,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
526,Ulladulla,AU,66.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
528,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
530,Mahenge,TZ,64.36,moderate rain,-8.6833,36.7167,Mkondosii Guest House
535,Linares,CL,88.72,few clouds,-35.85,-71.6,Hotel Real
536,Canico,PT,64.06,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
537,Tha Chang,TH,75.79,broken clouds,9.2642,99.1922,สุริยาค้าไม้
539,La Union,PE,84.04,broken clouds,-5.4,-80.75,Los Portales
540,Mattru,SL,77.29,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
541,Sao Geraldo Do Araguaia,BR,75.96,light rain,-6.4006,-48.555,Hotel Por do Sol
542,Kanchanaburi,TH,75.16,broken clouds,14.6333,99.1,แพบุญศรี
543,Iranshahr,IR,62.94,clear sky,27.2025,60.6848,نیک سرشت
550,Lazaro Cardenas,MX,84.99,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
552,Joao Monlevade,BR,70.63,few clouds,-19.81,-43.1736,Hotel Colonial Aquarius
554,Daru,PG,79.2,scattered clouds,-9.0763,143.2092,Daru Lodge
555,San Isidro,PE,76.59,clear sky,-12.1167,-77.05,Soul Mate-Inn
556,Tapes,BR,74.48,scattered clouds,-30.6733,-51.3958,Cabanas Camping Union
558,Gweta,BW,80.31,broken clouds,-20.1833,25.2333,Gweta Lodge
559,Alta Floresta,BR,84.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
562,Nicolas Bravo,MX,73.53,overcast clouds,18.45,-88.9167,
564,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
565,Khudumelapye,BW,73.0,scattered clouds,-23.8833,24.75,
566,Dolores,AR,79.03,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
567,Bonthe,SL,78.51,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
570,Kalianget,ID,76.42,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
572,Amapa,BR,76.1,heavy intensity rain,1.0,-52.0,
575,Totness,SR,79.09,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
578,Mayakonda,IN,68.68,clear sky,14.2833,76.0833,
579,Bandarbeyla,SO,74.84,few clouds,9.4942,50.8122,JABIR HOTEL
582,Galle,LK,73.9,overcast clouds,6.0367,80.217,Amangalla
583,Dwarka,IN,69.76,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
587,Sola,VU,82.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
588,Katete,UG,70.03,overcast clouds,-0.7818,29.7544,
590,Tuy Hoa,VN,73.53,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
591,Beloha,MG,75.42,few clouds,-25.1667,45.05,
592,Saint-Georges,GD,79.23,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
596,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
597,Faranah,GN,78.85,scattered clouds,10.0404,-10.7434,Chez mon oncle
598,Ikungi,TZ,60.82,light rain,-5.1333,34.7667,HADEE NIGHT PARK LODGE
600,Cayenne,GF,80.1,mist,4.9333,-52.3333,Hôtel Le Dronmi
603,Bundaberg,AU,70.21,clear sky,-24.85,152.35,Takalvan Motel
605,Castelo Do Piaui,BR,82.44,overcast clouds,-5.3222,-41.5525,Nobre Hotel
607,Kulhudhuffushi,MV,79.7,overcast clouds,6.6221,73.07,Haajy Guest House 1
608,Ambilobe,MG,73.27,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
612,Lakes Entrance,AU,75.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
614,Aquin,HT,80.96,few clouds,18.2833,-73.4,Asheev Beach
615,Macapa,BR,87.78,moderate rain,0.0389,-51.0664,Atalanta Hotel
620,Zambezi,ZM,65.79,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
621,Pajarito,CO,83.62,overcast clouds,5.2929,-72.7028,Serrucho rojo
625,Merauke,ID,77.7,scattered clouds,-8.4667,140.3333,
627,Ellisras,ZA,71.91,clear sky,-23.6649,27.7443,Lapa le le guesthouse
631,Mocuba,MZ,72.52,light rain,-16.8392,36.9856,Phama Lodge
635,Mareeba,AU,71.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
637,Davila,PH,77.65,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
638,Kloulklubed,PW,80.89,moderate rain,7.0419,134.2556,Storyboard Beach Resort
639,Dingle,PH,74.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
643,Payo,ID,72.1,overcast clouds,-3.7508,103.6372,Mess keban agung
644,Kiama,AU,70.57,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
648,Hambantota,LK,76.01,overcast clouds,6.1241,81.1185,Bungalow 63
649,Kisanga,TZ,74.64,moderate rain,-7.4362,37.7034,
650,Kruisfontein,ZA,65.19,few clouds,-34.0033,24.7314,Oyster Bay House Rental
654,Mahanoro,MG,76.32,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
656,Bowen,AU,71.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
657,Waingapu,ID,77.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
658,Miraflores,MX,66.87,broken clouds,19.2167,-98.8083,Hotel Mansión
660,Feijo,BR,76.55,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
661,Malindi,KE,76.93,overcast clouds,-3.2175,40.1191,African House Resort
662,Auki,SB,77.09,light rain,-8.7676,160.7034,Auki Motel
664,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
665,San Carlos De Bariloche,AR,85.75,clear sky,-41.1456,-71.3082,Hotel Patagonia
667,Kirakira,SB,79.84,light rain,-10.4544,161.9205,SanBiz Lodge
670,Maxixe,MZ,75.67,clear sky,-23.8597,35.3472,Oceano
